Edge_ID,Source_ID,Citing_Title,Citing_Year,Citing_Venue_Raw,Citing_DOI,Article_URL,Full_Text_URL,Citing_Authors_Raw,Context_Priority,Phase3_Fast_Attempted,Phase3_Fast_Match_Source,Phase3_Fast_Title_Score,Phase3_Fast_OpenAlex_ID,Phase3_Fast_Canonical_DOI,Phase3_Fast_Authors,Phase3_Fast_Institutions,Phase3_Fast_Countries,Final_Independence_Class,Final_Independence_Confidence,Final_Independence_Note,Overlapping_Source_Authors,Phase3_Fast_Changed
E011,P01,Constructing a high-power self-powered electrochemical pressure sensor for multimode pressure detections,2025,Nano Energy,,https://www.sciencedirect.com/science/article/pii/S2211285525001065,,"M Zhang, Z Duan, Z Huang, H Yu, C Wang, H Zhang…",Pending,No,Not needed,,,,"M Zhang, Z Duan, Z Huang, H Yu, C Wang, H Zhang…",,,,,,,No
E012,P01,Skin-inspired interlocked microstructures with soft-hard synergistic effect for high-sensitivity and wide-linear-range pressure sensing,2024,Chemical Engineering Journal,,https://www.sciencedirect.com/science/article/pii/S1385894724055724,,"S Tu, Y Xi, X Cui, Z Xu, Z Liu, Y Zhu",Medium,No,Not needed,,,,"S Tu, Y Xi, X Cui, Z Xu, Z Liu, Y Zhu",,,,,,,No
E013,P01,Integration of photodiagnosis and therapy guided by micro/nanorobots,2025,Advanced …,10.1002/adma.202420359,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202420359,,"Q Ding, S Huang, Z Zhang, D Yu, M Li…",Pending,No,Not needed,,,10.1002/adma.202420359,"Q Ding, S Huang, Z Zhang, D Yu, M Li…",,,,,,,No
E014,P01,Two-stage micropyramids enhanced flexible piezoresistive sensor for health monitoring and human–computer interaction,2024,ACS Applied Materials & …,10.1021/acsami.3c18788,https://pubs.acs.org/doi/abs/10.1021/acsami.3c18788,,"Z Chen, C Qu, J Yao, Y Zhang, Y Xu",Medium,No,Not needed,,,10.1021/acsami.3c18788,"Z Chen, C Qu, J Yao, Y Zhang, Y Xu",,,,,,,No
E015,P01,Flexible pressure sensor arrays with high sensitivity and high density based on spinous microstructures for carved patterns recognition,2025,Advanced Functional …,10.1002/adfm.202417238,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202417238,,"W Zhao, K Li, Z Li, W Wang, X Yu…",Pending,No,Not needed,,,10.1002/adfm.202417238,"W Zhao, K Li, Z Li, W Wang, X Yu…",,,,,,,No
E016,P01,Expanding the horizons of machine learning in nanomaterials to chiral nanostructures,2024,Advanced …,10.1002/adma.202308912,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202308912,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002%2Fadma.202308912,"V Kuznetsova, Á Coogan, D Botov…",Pending,No,Not needed,,,10.1002/adma.202308912,"V Kuznetsova, Á Coogan, D Botov…",,,,,,,No
E017,P01,Nanoplasmonic biosensors for environmental sustainability and human health,2024,Chemical Society Reviews,,https://pubs.rsc.org/cs/article-abstract/53/21/10491/804018,https://pubs.rsc.org/cs/article/53/21/10491/804018,"W Liu, K Chung, S Yu, LP Lee",Medium,No,Not needed,,,,"W Liu, K Chung, S Yu, LP Lee",,,,,,,No
E018,P01,"Degradable, biocompatible, and flexible capacitive pressure sensor for intelligent gait recognition and rehabilitation training",2024,Nano Energy,,https://www.sciencedirect.com/science/article/pii/S2211285524004981,,"D Guo, Y Li, Q Zhou, Z Yu, X Liu, S Dong, S Zhang…",Pending,No,Not needed,,,,"D Guo, Y Li, Q Zhou, Z Yu, X Liu, S Dong, S Zhang…",,,,,,,No
E019,P01,A dual-mode transparent flexible pressure sensor array for tactile sensing visualization,2025,Chemical Engineering …,,https://www.sciencedirect.com/science/article/pii/S1385894725024404,,"C Fang, L Zhao, W Su, B Qin…",Medium,No,Not needed,,,,"C Fang, L Zhao, W Su, B Qin…",,,,,,,No
E020,P01,Anti‐motion artifacts iontronic sensor for long‐term accurate fingertip pulse monitoring,2025,Advanced …,10.1002/advs.202414425,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/advs.202414425,https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202414425,"J You, M Lu, L Dazhen, M Gao, R Zhang…",Pending,No,Not needed,,,10.1002/advs.202414425,"J You, M Lu, L Dazhen, M Gao, R Zhang…",,,,,,,No
E021,P01,High-performance flexible capacitive pressure sensor based on a spiked nickel/polyimide composite nanofiber membrane,2025,ACS …,10.1021/acssensors.4c03495,https://pubs.acs.org/doi/abs/10.1021/acssensors.4c03495,,"L Xia, W Xiao, L Li, X Liu, Q Zhuang, Y Huang…",High,No,Not needed,,,10.1021/acssensors.4c03495,"L Xia, W Xiao, L Li, X Liu, Q Zhuang, Y Huang…",,,,,,,No
E022,P01,Underwater gesture recognition meta-gloves for marine immersive communication,2024,ACS …,10.1021/acsnano.3c13221,https://pubs.acs.org/doi/abs/10.1021/acsnano.3c13221,,"J Liu, L Wang, R Xu, X Zhang, J Zhao, H Liu, F Chen…",Low,No,Not needed,,,10.1021/acsnano.3c13221,"J Liu, L Wang, R Xu, X Zhang, J Zhao, H Liu, F Chen…",,,,,,,No
E023,P01,Emerging intelligent wearable devices for cardiovascular health monitoring,2024,Nano Today,,https://www.sciencedirect.com/science/article/pii/S1748013224004006,,"Y Wang, Y Zou, Z Li",High,No,Not needed,,,,"Y Wang, Y Zou, Z Li",,,,,,,No
E024,P01,High‐resolution carbon‐based tactile sensor array for dynamic pulse imaging,2024,Advanced Functional …,10.1002/adfm.202406022,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202406022,,"X Tian, G Cheng, Z Wu, X Wen, Y Kong…",Medium,No,Not needed,,,10.1002/adfm.202406022,"X Tian, G Cheng, Z Wu, X Wen, Y Kong…",,,,,,,No
E025,P01,Deep learning-assisted piezoresistive pressure sensors with broad-range ultrasensitivity for wearable motion monitoring,2025,Nano Energy,,https://www.sciencedirect.com/science/article/pii/S2211285525003945,,"C Zhang, S Lang, M Tao, P Li, T Liang, X Zhao, X Gou…",Pending,No,Not needed,,,,"C Zhang, S Lang, M Tao, P Li, T Liang, X Zhao, X Gou…",,,,,,,No
E026,P01,"Bioinspired low hysteresis flexible pressure sensor using nanocomposites of multiwalled carbon nanotubes, silicone rubber, and carbon nanofiber for human …",2024,ACS Applied Nano …,10.1021/acsanm.4c02631,https://pubs.acs.org/doi/abs/10.1021/acsanm.4c02631,,"X Guo, T Liu, Y Tang, W Li, L Liu, D Wang…",Pending,No,Not needed,,,10.1021/acsanm.4c02631,"X Guo, T Liu, Y Tang, W Li, L Liu, D Wang…",,,,,,,No
E027,P01,Wearable multichannel-active pressurized pulse sensing platform,2024,Microsystems & …,,https://www.nature.com/articles/s41378-024-00703-7,https://www.nature.com/articles/s41378-024-00703-7,"Y Zhao, Q Sun, S Mei, L Gao, X Zhang…",High,No,Not needed,,,,"Y Zhao, Q Sun, S Mei, L Gao, X Zhang…",,,,,,,No
E028,P01,"Recent advancements in physiological, biochemical, and multimodal sensors based on flexible substrates: strategies, technologies, and integrations",2023,… applied materials & …,10.1021/acsami.3c02690,https://pubs.acs.org/doi/abs/10.1021/acsami.3c02690,https://drive.google.com/file/d/1R5iga-5a-T_BBUfmU61oTXwWairiLNyB/view,"T Liu, L Liu, G Gou, Z Fang, J Sun, J Chen…",Exclude,No,Not needed,,,10.1021/acsami.3c02690,"T Liu, L Liu, G Gou, Z Fang, J Sun, J Chen…",,,,,,,No
E029,P01,All‐Carbon Piezoresistive Sensor: Enhanced Sensitivity and Wide Linear Range via Multiscale Design for Wearable Applications,2025,Advanced Functional …,10.1002/adfm.202418706,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202418706,,"Q Xiang, G Zhao, T Tang, H Zhang, Z Liu…",Medium,No,Not needed,,,10.1002/adfm.202418706,"Q Xiang, G Zhao, T Tang, H Zhang, Z Liu…",,,,,,,No
E030,P01,E-skin and its advanced applications in ubiquitous health monitoring,2024,Biomedicines,,https://www.mdpi.com/2227-9059/12/10/2307,https://www.mdpi.com/2227-9059/12/10/2307,"X Sun, X Guo, J Gao, J Wu, F Huang, JH Zhang…",High,No,Not needed,,,,"X Sun, X Guo, J Gao, J Wu, F Huang, JH Zhang…",,,,,,,No
E031,P01,An all‐in‐one wearable device integrating a solid‐state zinc‐ion battery and a capacitive pressure sensor for intelligent health monitoring,2024,Advanced Functional …,10.1002/adfm.202403788,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202403788,,"J Li, K Ma, B Qin, G Shen, C Zhang…",High,No,Not needed,,,10.1002/adfm.202403788,"J Li, K Ma, B Qin, G Shen, C Zhang…",,,,,,,No
E032,P01,Flexible sensor‐based human–machine interfaces with AI integration for medical robotics,2026,Advanced Robotics …,10.1002/adrr.202500027,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adrr.202500027,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adrr.202500027,"Y Wang, Z Jiang, SH Kwon, M Ibrahim…",Pending,No,Not needed,,,10.1002/adrr.202500027,"Y Wang, Z Jiang, SH Kwon, M Ibrahim…",,,,,,,No
E033,P01,"Flexible pressure sensing systems empowered by artificial intelligence: materials, devices and emerging applications",2026,Materials …,,https://pubs.rsc.org/mh/article-abstract/13/7/3178/897582,,"Z Hu, X Liu, X Cheng, Y Song, Z Jia, P Zhao, Z Lv…",Pending,No,Not needed,,,,"Z Hu, X Liu, X Cheng, Y Song, Z Jia, P Zhao, Z Lv…",,,,,,,No
E034,P01,Flexible ionic pressure sensors: From migration‐electronic mechanisms to emerging iontronic paradigms,2026,InfoMat,10.1002/inf2.70116,https://onlinelibrary.wiley.com/doi/abs/10.1002/inf2.70116,https://onlinelibrary.wiley.com/doi/full/10.1002/inf2.70116,"M Wang, Y Ma, J Liu, L Xu, L Wen, R Wu, Y Cheng…",Medium,No,Not needed,,,10.1002/inf2.70116,"M Wang, Y Ma, J Liu, L Xu, L Wen, R Wu, Y Cheng…",,,,,,,No
E035,P01,Multi‐receptor skin with highly sensitive tele‐perception somatosensory flexible electronics in healthcare: Multimodal sensing and AI‐powered diagnostics,2025,Advanced Healthcare …,10.1002/adhm.202502901,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adhm.202502901,,"Y Guo, P Huo, S Huang, G Gou…",Exclude,No,Not needed,,,10.1002/adhm.202502901,"Y Guo, P Huo, S Huang, G Gou…",,,,,,,No
E036,P01,Intelligent cardiovascular disease diagnosis system combined piezoelectric nanogenerator based on 2D Bi2O2Se with deep learning technique,2024,Nano Energy,,https://www.sciencedirect.com/science/article/pii/S2211285524006268,,"Y Sun, J Mao, L Cao, X Zheng, Q Meng, S Zhao…",Pending,No,Not needed,,,,"Y Sun, J Mao, L Cao, X Zheng, Q Meng, S Zhao…",,,,,,,No
E037,P01,Advances in micro/nano-engineered flexible sensor arrays for intelligent human-machine interaction,2025,Soft Science,,https://www.oaepublish.com/articles/ss.2025.11,https://www.oaepublish.com/articles/ss.2025.11,"S Wang, X Chen, S Li, B Sun, X Chen, H Tian…",Medium,No,Not needed,,,,"S Wang, X Chen, S Li, B Sun, X Chen, H Tian…",,,,,,,No
E038,P01,Wireless battery-free ultrathin lithium-niobate resonator as wearable and implantable electronics for continuous monitoring of mechanical vital signs,2025,Nature …,,https://www.nature.com/articles/s41467-025-67413-0,https://www.nature.com/articles/s41467-025-67413-0,"L Zhou, P Liu, J Liu, W Yuan, Z Wu, D Xu, B Hu…",High,No,Not needed,,,,"L Zhou, P Liu, J Liu, W Yuan, Z Wu, D Xu, B Hu…",,,,,,,No
E039,P01,Gradient porous composite based capacitive pressure sensor with enhanced sensitivity and linear response,2025,Measurement,,https://www.sciencedirect.com/science/article/pii/S026322412501718X,,"L Chen, B Zheng, S Li, H Wu",Pending,No,Not needed,,,,"L Chen, B Zheng, S Li, H Wu",,,,,,,No
E040,P01,A cross-scale honeycomb architecture-based flexible piezoresistive sensor for multiscale pressure perception and fine-grained identification,2024,Materials Horizons,,https://pubs.rsc.org/mh/article-abstract/11/2/510/813686,https://pubs.rsc.org/mh/article/11/2/510/813686,"C Lu, Y Gao, X Chan, W Yu, H Wang, L Hu, L Li",Medium,No,Not needed,,,,"C Lu, Y Gao, X Chan, W Yu, H Wang, L Hu, L Li",,,,,,,No
E041,P01,Artificial intelligence-enabled novel atrial fibrillation diagnosis system using 3D pulse perception flexible pressure sensor array,2025,ACS …,10.1021/acssensors.4c02395,https://pubs.acs.org/doi/abs/10.1021/acssensors.4c02395,,"Y Cao, P Li, Y Zhu, Z Wang, N Tang, Z Li, B Cheng…",High,No,Not needed,,,10.1021/acssensors.4c02395,"Y Cao, P Li, Y Zhu, Z Wang, N Tang, Z Li, B Cheng…",,,,,,,No
E042,P01,A rigid–soft hybrid paper-based flexible pressure sensor with an ultrawide working range and frequency bandwidth,2024,Journal of Materials …,,https://pubs.rsc.org/ta/article-abstract/12/23/13994/873364,https://pubs.rsc.org/ta/article/12/23/13994/873364,"C Wang, J Quan, L Liu, P Cao, K Ding, Y Ding…",Pending,No,Not needed,,,,"C Wang, J Quan, L Liu, P Cao, K Ding, Y Ding…",,,,,,,No
E043,P01,An E-skin for handwriting input at human-machine interface,2025,Chemical Engineering …,,https://www.sciencedirect.com/science/article/pii/S1385894724103701,,"H Xiang, Z Li, Z Bai, H Wu, G Liu, H Zhou…",High,No,Not needed,,,,"H Xiang, Z Li, Z Bai, H Wu, G Liu, H Zhou…",,,,,,,No
E044,P01,"Ultra-sensitive, broad-range flexible piezoresistive sensor via synergistic porous and step-like structures for human–computer interaction",2026,ACS Applied Materials &Interfaces,,https://pubs.acs.org/aamick/article-abstract/18/1/2434/5105439,,"S Li, J Li, B Wu, Y Xu",Medium,No,Not needed,,,,"S Li, J Li, B Wu, Y Xu",,,,,,,No
E045,P01,Smart Driving Hardware Augmentation by Flexible Piezoresistive Sensor Matrices with Grafted‐on Anticreep Composites,2025,Advanced …,10.1002/advs.202408313,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/advs.202408313,https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202408313,"K Chen, H Yang, A Wang, L Tang, X Zha…",High,No,Not needed,,,10.1002/advs.202408313,"K Chen, H Yang, A Wang, L Tang, X Zha…",,,,,,,No
E046,P01,Continuous Monitoring of Body Fluid by Flexible Bio‐Integrated Flow Sensors,2026,Advanced Materials,10.1002/adma.202523029,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202523029,,"Z Ma, D Zhang, MFM Sabri, Y Jiang",Low,No,Not needed,,,10.1002/adma.202523029,"Z Ma, D Zhang, MFM Sabri, Y Jiang",,,,,,,No
E047,P01,Flexible thermal array sensor for imperceptible monitoring of multidimensional vascular dynamics,2026,Science Advances,10.1126/sciadv.aea5803,https://www.science.org/doi/abs/10.1126/sciadv.aea5803,https://www.science.org/doi/pdf/10.1126/sciadv.aea5803,"S Tian, S Liu, R Zhu",High,No,Not needed,,,10.1126/sciadv.aea5803,"S Tian, S Liu, R Zhu",,,,,,,No
E048,P01,High-performance graphene flexible sensors for pulse monitoring and human–machine interaction,2024,… Applied Materials & …,10.1021/acsami.4c06546,https://pubs.acs.org/doi/abs/10.1021/acsami.4c06546,,"W Xiao, X Cai, A Jadoon, Y Zhou, Q Gou…",Pending,No,Not needed,,,10.1021/acsami.4c06546,"W Xiao, X Cai, A Jadoon, Y Zhou, Q Gou…",,,,,,,No
E049,P01,Loofah Fiber Fabric‐Based Piezoresistive Pressure Sensor With Wide‐Linear‐Range High Sensitivity,2025,Small,10.1002/smll.202506521,https://onlinelibrary.wiley.com/doi/abs/10.1002/smll.202506521,,"C Lu, Y Shen, X Chan, S Yu, L Hu, L Li",Medium,No,Not needed,,,10.1002/smll.202506521,"C Lu, Y Shen, X Chan, S Yu, L Hu, L Li",,,,,,,No
E050,P01,Skin-inspired piezoresistive sensor based on hierarchical structures and lignocellulosic bioplastic electrodes with ultrahigh sensitivity,2025,ACS Applied Materials & …,10.1021/acsami.5c13759,https://pubs.acs.org/doi/abs/10.1021/acsami.5c13759,,"W Chen, J Ma, B Li, L Feng, X Ji…",High,No,Not needed,,,10.1021/acsami.5c13759,"W Chen, J Ma, B Li, L Feng, X Ji…",,,,,,,No
E051,P01,Recent progress on flexible tactile sensors: From microstructural design to intelligent sensing applications,2025,Materials Today Physics,,https://www.sciencedirect.com/science/article/pii/S254252932500149X,,"T Li, LF Liu, D Zhang, XG Tang, QJ Sun",Exclude,No,Not needed,,,,"T Li, LF Liu, D Zhang, XG Tang, QJ Sun",,,,,,,No
E052,P01,Differential-deformation structured pressure sensor for stable measurement of superficial temporal artery pulse,2025,Nano Energy,,https://www.sciencedirect.com/science/article/pii/S2211285525000370,,"X Wang, J Li, K Meng, H Luo, F Ran, Y Wu, K Wei…",Pending,No,Not needed,,,,"X Wang, J Li, K Meng, H Luo, F Ran, Y Wu, K Wei…",,,,,,,No
E053,P01,Scale production of a stretchable fiber triboelectric nanogenerator in customizable textile for human motion recognition,2024,… Applied Materials & …,,https://pubs.acs.org/aamick/article-abstract/16/47/65348/140910,,"Y Zu, S Xu, P Sun, C Wang, Q Hu, H Jia…",Low,No,Not needed,,,,"Y Zu, S Xu, P Sun, C Wang, Q Hu, H Jia…",,,,,,,No
E054,P01,Bio-inspired flexible optical microfiber sensor with nanohemisphere array microstructure for ultra-sensitive detection of skin signals,2024,Measurement,,https://www.sciencedirect.com/science/article/pii/S0263224124007590,,"P Dai, Z Cong, Y Sun, W Yan, P Chen, X Wang…",Pending,No,Not needed,,,,"P Dai, Z Cong, Y Sun, W Yan, P Chen, X Wang…",,,,,,,No
E055,P01,Strain-insensitive iontronic tactile sensor with rigid–soft hybrid architecture for cardiovascular assessment,2026,ACS …,,https://pubs.acs.org/ascefj/article/11/1/550/5105262,,"W Li, Y Fan, C Liu, H Kong, M Liu, S Liu, X Li, L Niu…",Pending,No,Not needed,,,,"W Li, Y Fan, C Liu, H Kong, M Liu, S Liu, X Li, L Niu…",,,,,,,No
E056,P01,Nanoengineering ultrathin flexible pressure sensors with superior sensitivity and wide range via nanocomposite structures,2024,ACS sensors,10.1021/acssensors.4c01171,https://pubs.acs.org/doi/abs/10.1021/acssensors.4c01171,,"Y Zhu, X Hu, X Yan, W Ni, M Wu, J Liu",Medium,No,Not needed,,,10.1021/acssensors.4c01171,"Y Zhu, X Hu, X Yan, W Ni, M Wu, J Liu",,,,,,,No
E057,P01,A proprioceptive Janus fiber with controllable multistage segments for bionic soft robots,2024,ACS …,10.1021/acsnano.4c10117,https://pubs.acs.org/doi/abs/10.1021/acsnano.4c10117,,"H Zhu, T Li, L Fu, J Bai, S Li, Y Bai, S Deng, S Yuan…",Pending,No,Not needed,,,10.1021/acsnano.4c10117,"H Zhu, T Li, L Fu, J Bai, S Li, Y Bai, S Deng, S Yuan…",,,,,,,No
E058,P01,Ti3C2Tx-MXene/PET textile-based flexible pressure sensor for wearable pulse monitoring,2023,Journal of Materials …,,https://pubs.rsc.org/tc/article-abstract/11/44/15638/835020,https://pubs.rsc.org/tc/article/11/44/15638/835020,"Q Zhang, H Zhang, J Liang, X Zhao, B Li…",Pending,No,Not needed,,,,"Q Zhang, H Zhang, J Liang, X Zhao, B Li…",,,,,,,No
E059,P01,"Piezoresistive pressure sensors in pulse waveform monitoring: A review of biomechanics, related technologies, and machine learning perspectives",2025,Sensors and Actuators A …,,https://www.sciencedirect.com/science/article/pii/S0924424725011355,,"B Jafarizadeh, AH Chowdhury, R Haque…",Medium,No,Not needed,,,,"B Jafarizadeh, AH Chowdhury, R Haque…",,,,,,,No
E060,P01,Synergetic Monitoring of both Physiological Pressure and Epidermal Biopotential Based on a Simplified on‐Skin‐Printed Sensor Modality,2023,Small,10.1002/smll.202303301,https://onlinelibrary.wiley.com/doi/abs/10.1002/smll.202303301,,"Y Song, W Ren, Y Zhang, Q Liu, Z Peng, X Wu, Z Wang",Medium,No,Not needed,,,10.1002/smll.202303301,"Y Song, W Ren, Y Zhang, Q Liu, Z Peng, X Wu, Z Wang",,,,,,,No
E061,P01,"Smart flexible tactile sensors: recent progress in device designs, intelligent algorithms, and multidisciplinary applications",2025,Advanced Intelligent …,10.1002/aidi.202500112,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/aidi.202500112,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/aidi.202500112,"S Wang, M Dong, R Bao, C Pan",Medium,No,Not needed,,,10.1002/aidi.202500112,"S Wang, M Dong, R Bao, C Pan",,,,,,,No
E062,P01,Leather-based shoe soles for real-time gait recognition and automatic remote assistance using machine learning,2024,… Applied Materials & …,10.1021/acsami.4c16505,https://pubs.acs.org/doi/abs/10.1021/acsami.4c16505,,"P Zhang, X Zhang, M Teng, L Li, X Liu…",Pending,No,Not needed,,,10.1021/acsami.4c16505,"P Zhang, X Zhang, M Teng, L Li, X Liu…",,,,,,,No
E063,P01,Fully printed minimum port flexible interdigital electrode sensor arrays,2024,Nanoscale,,https://pubs.rsc.org/nr/article-abstract/16/15/7427/819032,https://pubs.rsc.org/nr/article/16/15/7427/819032,"Y Teng, X Wang, Z Zhang, S Mei, X Nan, Y Zhao…",Pending,No,Not needed,,,,"Y Teng, X Wang, Z Zhang, S Mei, X Nan, Y Zhao…",,,,,,,No
E064,P01,"Soluble polyimides containing benzocyclobutene moieties: Synthesis, cross-linking behavior, and physical and gas transport properties",2024,…,10.1021/acs.macromol.4c00057,https://pubs.acs.org/doi/abs/10.1021/acs.macromol.4c00057,,"K Geng, T Xue, X Li, H Sang, S Feng, C Wang…",Low,No,Not needed,,,10.1021/acs.macromol.4c00057,"K Geng, T Xue, X Li, H Sang, S Feng, C Wang…",,,,,,,No
E065,P01,Self‐Powered Multi‐Functional Sensor System Based on Pomegranate‐Inspired Composites for Advanced Cardiovascular Disease Prediction and Diagnosis within …,2025,Advanced Functional …,10.1002/adfm.202505543,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202505543,,"Y Zhao, Q Jia, Y Zhang, X Zhang, L Li…",High,No,Not needed,,,10.1002/adfm.202505543,"Y Zhao, Q Jia, Y Zhang, X Zhang, L Li…",,,,,,,No
E066,P01,A Temperature-Pressure Dual-Mode Flexible Patch Sensor with Temperature Compensation and Pressure Decoupling Functions for Pulse Detection and Recognition,2026,ACS …,10.1021/acssensors.5c04432,https://pubs.acs.org/doi/abs/10.1021/acssensors.5c04432,,"Y Ma, W Zhao, R Yan, X Duan, H Cheng, J Zhang…",High,No,Not needed,,,10.1021/acssensors.5c04432,"Y Ma, W Zhao, R Yan, X Duan, H Cheng, J Zhang…",,,,,,,No
E067,P01,Single channel tactile sensor array for detection of pressure and position with two electrodes,2025,Chemical Engineering Journal,,https://www.sciencedirect.com/science/article/pii/S1385894725072924,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5240877,"J Xing, T Yuan, S Yang, C Li, Z Fan, L Pan",Low,No,Not needed,,,,"J Xing, T Yuan, S Yang, C Li, Z Fan, L Pan",,,,,,,No
